"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"1099029","Vireo olivaceus","Red-eyed Vireo","Vireonidae (Vireos)","LC"
"5587","Vireo altiloquus","Black-whiskered Vireo","Vireonidae (Vireos)","LC"
"5582","Vireo flavifrons","Yellow-throated Vireo","Vireonidae (Vireos)","LC"
"7143","Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae (Swallows and martins)","LC"
"7116","Hirundo rustica","Barn Swallow","Hirundinidae (Swallows and martins)","LC"
"1018013","Riparia riparia","Collared Sand Martin","Hirundinidae (Swallows and martins)","LC"
"7080","Tachycineta albiventer","White-winged Swallow","Hirundinidae (Swallows and martins)","LC"
"7089","Progne dominicensis","Caribbean Martin","Hirundinidae (Swallows and martins)","LC"
"7091","Progne chalybea","Grey-breasted Martin","Hirundinidae (Swallows and martins)","LC"
"7103","Stelgidopteryx ruficollis","Southern Rough-winged Swallow","Hirundinidae (Swallows and martins)","LC"
"7094","Pygochelidon cyanoleuca","Blue-and-white Swallow","Hirundinidae (Swallows and martins)","LC"
"6991","Ramphocaenus melanurus","Long-billed Gnatwren","Polioptilidae (Gnatcatchers)","LC"
"1018285","Troglodytes aedon","House Wren","Troglodytidae (Wrens)","LC"
"6951","Pheugopedius rutilus","Rufous-breasted Wren","Troglodytidae (Wrens)","LC"
"6851","Mimus gilvus","Tropical Mockingbird","Mimidae (Mockingbirds and thrashers)","LC"
"6370","Catharus fuscescens","Veery","Turdidae (Thrushes)","LC"
"6371","Catharus minimus","Grey-cheeked Thrush","Turdidae (Thrushes)","LC"
"6364","Catharus aurantiirostris","Orange-billed Nightingale-thrush","Turdidae (Thrushes)","LC"
"6432","Turdus fumigatus","Cocoa Thrush","Turdidae (Thrushes)","LC"
"6375","Turdus flavipes","Yellow-legged Thrush","Turdidae (Thrushes)","LC"
"6440","Turdus albicollis","White-necked Thrush","Turdidae (Thrushes)","LC"
"6435","Turdus nudigenis","Spectacled Thrush","Turdidae (Thrushes)","LC"
"9352","Euphonia trinitatis","Trinidad Euphonia","Fringillidae (Finches)","LC"
"9356","Euphonia violacea","Violaceous Euphonia","Fringillidae (Finches)","LC"
"9362","Euphonia cyanocephala","Golden-rumped Euphonia","Fringillidae (Finches)","LC"
"8818","Spinus cucullatus","Red Siskin","Fringillidae (Finches)","EN"
"9753","Dolichonyx oryzivorus","Bobolink","Icteridae (New World blackbirds)","LC"
"30206","Leistes militaris","Red-breasted Blackbird","Icteridae (New World blackbirds)","LC"
"9658","Psarocolius decumanus","Crested Oropendola","Icteridae (New World blackbirds)","LC"
"1017887","Cacicus cela","Yellow-rumped Cacique","Icteridae (New World blackbirds)","LC"
"9682","Icterus nigrogularis","Yellow Oriole","Icteridae (New World blackbirds)","LC"
"9693","Icterus galbula","Baltimore Oriole","Icteridae (New World blackbirds)","LC"
"32482","Icterus icterus","Venezuelan Troupial","Icteridae (New World blackbirds)","LC"
"9752","Molothrus oryzivorus","Giant Cowbird","Icteridae (New World blackbirds)","LC"
"9749","Molothrus bonariensis","Shiny Cowbird","Icteridae (New World blackbirds)","LC"
"9744","Quiscalus lugubris","Carib Grackle","Icteridae (New World blackbirds)","LC"
"9712","Chrysomus icterocephalus","Yellow-hooded Blackbird","Icteridae (New World blackbirds)","LC"
"9131","Parkesia noveboracensis","Northern Waterthrush","Parulidae (New World warblers)","LC"
"9127","Protonotaria citrea","Prothonotary Warbler","Parulidae (New World warblers)","LC"
"1017901","Geothlypis aequinoctialis","Masked Yellowthroat","Parulidae (New World warblers)","LC"
"9126","Setophaga ruticilla","American Redstart","Parulidae (New World warblers)","LC"
"9100","Setophaga tigrina","Cape May Warbler","Parulidae (New World warblers)","LC"
"1017918","Setophaga pitiayumi","Tropical Parula","Parulidae (New World warblers)","LC"
"9108","Setophaga fusca","Blackburnian Warbler","Parulidae (New World warblers)","LC"
"9097","Setophaga petechia","American Yellow Warbler","Parulidae (New World warblers)","LC"
"9119","Setophaga striata","Blackpoll Warbler","Parulidae (New World warblers)","NT"
"1017912","Setophaga coronata","Myrtle Warbler","Parulidae (New World warblers)","LC"
"1017936","Basileuterus auricapilla","Golden-crowned Warbler","Parulidae (New World warblers)","LC"
"9620","Pheucticus ludovicianus","Rose-breasted Grosbeak","Cardinalidae (Cardinals)","LC"
"9615","Spiza americana","Dickcissel","Cardinalidae (Cardinals)","LC"
"9651","Passerina cyanea","Indigo Bunting","Cardinalidae (Cardinals)","LC"
"9289","Habia rubica","Red-crowned Ant-tanager","Cardinalidae (Cardinals)","LC"
"9298","Piranga olivacea","Scarlet Tanager","Cardinalidae (Cardinals)","LC"
"9296","Piranga rubra","Summer Tanager","Cardinalidae (Cardinals)","LC"
"1017970","Piranga hepatica","Hepatic Tanager","Cardinalidae (Cardinals)","LC"
"9441","Chlorophanes spiza","Green Honeycreeper","Thraupidae (Tanagers)","LC"
"9447","Tersina viridis","Swallow Tanager","Thraupidae (Tanagers)","LC"
"9444","Cyanerpes caeruleus","Purple Honeycreeper","Thraupidae (Tanagers)","LC"
"9445","Cyanerpes cyaneus","Red-legged Honeycreeper","Thraupidae (Tanagers)","LC"
"9438","Dacnis cayana","Blue Dacnis","Thraupidae (Tanagers)","LC"
"1017988","Saltator olivascens","Caribbean Grey Saltator","Thraupidae (Tanagers)","LC"
"9199","Coereba flaveola","Bananaquit","Thraupidae (Tanagers)","LC"
"9575","Melanospiza bicolor","Black-faced Grassquit","Thraupidae (Tanagers)","LC"
"9576","Asemospiza fuliginosa","Sooty Grassquit","Thraupidae (Tanagers)","LC"
"9525","Volatinia jacarina","Blue-black Grassquit","Thraupidae (Tanagers)","LC"
"9283","Islerothraupis luctuosa","White-shouldered Tanager","Thraupidae (Tanagers)","LC"
"9286","Tachyphonus rufus","White-lined Tanager","Thraupidae (Tanagers)","LC"
"9308","Ramphocelus carbo","Silver-beaked Tanager","Thraupidae (Tanagers)","LC"
"9534","Sporophila bouvronides","Lesson's Seedeater","Thraupidae (Tanagers)","LC"
"9529","Sporophila intermedia","Grey Seedeater","Thraupidae (Tanagers)","LC"
"32200","Sporophila americana","Wing-barred Seedeater","Thraupidae (Tanagers)","LC"
"1018394","Sporophila nigricollis","Yellow-bellied Seedeater","Thraupidae (Tanagers)","LC"
"9562","Sporophila angolensis","Chestnut-bellied Seed-Finch","Thraupidae (Tanagers)","LC"
"9559","Sporophila crassirostris","Large-billed Seed-finch","Thraupidae (Tanagers)","LC"
"9528","Sporophila schistacea","Slate-colored Seedeater","Thraupidae (Tanagers)","LC"
"9547","Sporophila minuta","Ruddy-breasted Seedeater","Thraupidae (Tanagers)","LC"
"9202","Conirostrum bicolor","Bicolored Conebill","Thraupidae (Tanagers)","NT"
"9515","Sicalis flaveola","Saffron Finch","Thraupidae (Tanagers)","LC"
"9514","Sicalis columbiana","Orange-fronted Yellow-finch","Thraupidae (Tanagers)","LC"
"32504","Sicalis luteola","Grassland Yellow-finch","Thraupidae (Tanagers)","LC"
"9320","Sporathraupis cyanocephala","Blue-capped Tanager","Thraupidae (Tanagers)","LC"
"32687","Paroaria nigrogenis","Masked Cardinal","Thraupidae (Tanagers)","LC"
"9402","Tangara guttata","Speckled Tanager","Thraupidae (Tanagers)","LC"
"9313","Tangara episcopus","Blue-grey Tanager","Thraupidae (Tanagers)","LC"
"9319","Tangara palmarum","Palm Tanager","Thraupidae (Tanagers)","LC"
"9405","Tangara gyrola","Bay-headed Tanager","Thraupidae (Tanagers)","LC"
"1018166","Tangara mexicana","Turquoise Tanager","Thraupidae (Tanagers)","LC"
